Date,Close,Sentiment
2018-11-26,261.429993,2
2018-11-27,266.630005,2
2018-11-28,282.649994,2
2018-11-29,288.750000,1
2018-11-30,286.130005,1
2018-12-03,290.299988,0
2018-12-04,275.329987,1
2018-12-06,282.880005,0
2018-12-07,265.140015,1
2018-12-10,269.700012,1
2018-12-11,265.320007,2
2018-12-12,274.880005,1
2018-12-13,276.019989,0
2018-12-14,266.839996,1
2018-12-17,262.799988,2
2018-12-18,270.940002,1
2018-12-19,266.769989,1
2018-12-20,260.579987,0
2018-12-21,246.389999,0
2018-12-24,233.880005,2
2018-12-26,253.669998,1
2018-12-27,255.570007,1
2018-12-28,256.079987,1
2018-12-31,267.660004,2
2019-01-02,267.660004,2
2019-01-03,271.200012,2
2019-01-04,297.570007,2
2019-01-07,315.339996,2
2019-01-08,320.269989,1
2019-01-09,319.959991,1
2019-01-10,324.660004,2
2019-01-11,337.589996,2
2019-01-14,332.940002,1
2019-01-15,354.640015,1
2019-01-16,351.390015,1
2019-01-17,353.190002,0
2019-01-18,339.100006,0
2019-01-22,325.160004,0
2019-01-23,321.989990,1
2019-01-24,326.670013,2
2019-01-25,338.049988,1
2019-01-28,335.660004,0
2019-01-29,328.899994,2
2019-01-30,340.660004,1
2019-01-31,339.500000,1
2019-02-01,339.850006,2
2019-02-04,351.339996,2
2019-02-05,355.809998,1
2019-02-06,352.190002,0
2019-02-07,344.709991,0
2019-02-08,347.570007,1
2019-02-11,345.730011,2
2019-02-12,359.970001,1
2019-02-13,351.769989,1
2019-02-14,359.070007,1
2019-02-15,356.869995,1
2019-02-19,361.920013,1
2019-02-20,359.910004,1
2019-02-21,356.970001,1
2019-02-22,363.019989,2
2019-02-25,363.910004,1
2019-02-26,364.970001,1
2019-02-27,362.869995,1
2019-02-28,358.100006,0
2019-03-01,357.320007,1
2019-03-04,351.040009,0
2019-03-05,354.299988,1
2019-03-06,359.609985,1
2019-03-07,352.600006,1
2019-03-08,349.600006,1
2019-03-11,358.859985,2
2019-03-12,356.269989,1
2019-03-13,361.209991,0
2019-03-14,358.820007,1
2019-03-15,361.459991,1
2019-03-18,363.440002,0
2019-03-19,358.779999,2
2019-03-20,375.220001,1
2019-03-21,377.869995,0
2019-03-22,361.010010,1
2019-03-25,366.230011,1
2019-03-26,359.970001,1
2019-03-27,353.369995,1
2019-03-28,354.609985,1
2019-03-29,356.559998,2
2019-04-01,366.959991,2
2019-04-02,367.720001,1
2019-04-03,369.750000,1
2019-04-04,367.880005,1
2019-04-05,365.489990,1
2019-04-08,361.410004,1
2019-04-09,364.709991,1
2019-04-10,363.920013,1
2019-04-11,367.649994,1
2019-04-12,351.140015,0
2019-04-15,348.869995,0
2019-04-16,359.459991,2
2019-04-17,354.739990,1
2019-04-18,360.350006,2
2019-04-22,377.339996,2
2019-04-23,381.890015,1
2019-04-24,374.230011,0
2019-04-25,368.329987,0
2019-04-26,374.850006,2
2019-04-29,371.829987,0
2019-04-30,370.540009,1
2019-05-01,378.809998,2
2019-05-02,379.059998,1
2019-05-03,385.029999,2
2019-05-06,378.670013,0
2019-05-07,370.459991,0
2019-05-08,364.369995,0
2019-05-09,362.750000,1
2019-05-10,361.040009,1
2019-05-13,345.260010,0
2019-05-14,345.609985,1
2019-05-15,354.989990,2
2019-05-16,359.309998,1
2019-05-17,354.450012,1
2019-05-20,348.109985,0
2019-05-21,354.269989,2
2019-05-22,359.730011,2
2019-05-23,352.209991,1
2019-05-24,354.390015,1
2019-05-28,355.059998,1
2019-05-29,349.190002,0
2019-05-30,351.850006,1
2019-05-31,343.279999,0
2019-06-03,336.630005,2
2019-06-04,353.399994,1
2019-06-05,355.730011,1
2019-06-06,357.130005,1
2019-06-07,360.869995,1
2019-06-10,352.010010,0
2019-06-11,351.269989,1
2019-06-12,345.559998,0
2019-06-13,343.429993,1
2019-06-14,339.730011,1
2019-06-17,350.619995,2
2019-06-18,357.119995,1
2019-06-19,363.519989,1
2019-06-20,365.209991,1
2019-06-21,369.209991,1
2019-06-24,371.040009,1
2019-06-25,360.299988,0
2019-06-26,362.200012,1
2019-06-27,370.019989,2
2019-06-28,367.320007,1
2019-07-01,374.600006,2
2019-07-02,375.429993,1
2019-07-03,381.720001,1
2019-07-05,380.549988,1
2019-07-08,376.160004,1
2019-07-09,379.929993,1
2019-07-10,381.000000,1
2019-07-11,379.500000,1
2019-07-12,373.250000,1
2019-07-15,366.600006,0
2019-07-16,365.989990,1
2019-07-17,362.440002,0
2019-07-18,325.209991,0
2019-07-19,315.100006,0
2019-07-22,310.619995,0
2019-07-23,307.299988,2
2019-07-24,317.940002,2
2019-07-25,326.459991,2
2019-07-26,335.779999,1
2019-07-29,332.700012,1
2019-07-30,325.929993,0
2019-07-31,322.989990,1
2019-08-01,319.500000,1
2019-08-02,318.829987,1
2019-08-05,307.630005,0
2019-08-06,310.100006,1
2019-08-07,304.290009,0
2019-08-08,315.899994,2
2019-08-09,308.929993,0
2019-08-12,310.829987,1
2019-08-13,312.279999,1
2019-08-14,299.109985,0
2019-08-15,295.760010,0
2019-08-16,302.799988,1
2019-08-19,309.380005,2
2019-08-20,298.989990,0
2019-08-21,297.809998,0
2019-08-22,296.929993,0
2019-08-23,291.440002,0
2019-08-26,294.980011,1
2019-08-27,291.029999,1
2019-08-28,291.769989,1
2019-08-29,296.779999,1
2019-08-30,293.750000,1
2019-09-03,289.290009,1
2019-09-04,291.519989,1
2019-09-05,293.250000,1
2019-09-06,290.170013,1
2019-09-09,294.339996,1
2019-09-10,287.989990,1
2019-09-11,288.269989,1
2019-09-12,288.859985,1
2019-09-13,294.149994,1
2019-09-16,294.290009,1
2019-09-17,298.600006,1
2019-09-18,291.559998,1
2019-09-19,286.600006,0
2019-09-20,270.750000,0
2019-09-23,265.920013,0
2019-09-24,254.589996,2
2019-09-25,264.750000,1
2019-09-26,263.309998,1
2019-09-27,263.079987,1
2019-09-30,267.619995,1
2019-10-01,269.579987,1
2019-10-02,268.029999,1
2019-10-03,268.149994,1
2019-10-04,272.790009,1
2019-10-07,274.459991,1
2019-10-08,270.720001,1
2019-10-09,267.529999,0
2019-10-10,280.480011,2
2019-10-11,282.929993,2
2019-10-14,285.529999,2
2019-10-15,284.250000,1
2019-10-16,286.279999,2
2019-10-17,293.350006,0
2019-10-18,275.299988,1
2019-10-21,278.049988,0
2019-10-22,266.690002,1
2019-10-23,271.269989,1
2019-10-24,271.500000,1
2019-10-25,276.820007,2
2019-10-28,281.859985,1
2019-10-29,281.209991,1
2019-10-30,291.450012,2
2019-10-31,287.410004,1
2019-11-01,286.809998,1
2019-11-04,292.859985,2
2019-11-05,288.029999,1
2019-11-06,288.589996,1
2019-11-07,289.570007,1
2019-11-08,291.570007,1
2019-11-11,294.179993,1
2019-11-12,292.010010,0
2019-11-13,283.109985,1
2019-11-14,289.619995,2
2019-11-15,295.029999,2
2019-11-18,302.570007,1
2019-11-19,302.600006,1
2019-11-20,305.160004,2
2019-11-21,311.690002,1
2019-11-22,310.480011,1
2019-11-25,315.549988,1
2019-11-26,312.489990,1
2019-11-27,315.929993,1
2019-11-29,314.660004,1
2019-12-02,309.989990,1
2019-12-03,306.160004,0
2019-12-04,304.320007,0
2019-12-05,302.859985,0
2019-12-06,307.350006,1
2019-12-09,302.500000,0
2019-12-10,293.119995,1
2019-12-11,298.929993,1
2019-12-12,298.440002,1
2019-12-13,298.500000,1
2019-12-16,304.209991,2
2019-12-17,315.480011,2
2019-12-18,320.799988,2
2019-12-19,332.220001,2
2019-12-20,336.899994,1
2019-12-23,333.100006,1
2019-12-24,333.200012,1
2019-12-26,332.630005,1
2019-12-27,329.089996,1
2019-12-30,323.309998,1
2019-12-31,323.570007,1
2020-01-02,329.809998,1
2020-01-03,325.899994,1
2020-01-06,335.829987,2
2020-01-07,330.750000,1
2020-01-08,339.260010,2
2020-01-09,335.660004,0
2020-01-10,329.049988,0
2020-01-13,338.920013,2
2020-01-14,338.690002,1
2020-01-15,339.070007,1
2020-01-16,338.619995,1
2020-01-17,339.670013,1
2020-01-21,338.109985,0
2020-01-22,326.000000,2
2020-01-23,349.600006,2
2020-01-24,353.160004,0
2020-01-27,342.880005,1
2020-01-28,348.519989,1
2020-01-29,343.160004,1
2020-01-30,347.739990,1
2020-01-31,345.089996,2
2020-02-03,358.000000,2
2020-02-04,369.010010,1
2020-02-05,369.670013,1
2020-02-06,366.950012,1
2020-02-07,366.769989,1
2020-02-10,371.070007,1
2020-02-11,373.690002,2
2020-02-12,380.010010,1
2020-02-13,381.399994,1
2020-02-14,380.399994,2
2020-02-18,387.779999,1
2020-02-19,386.190002,1
2020-02-20,386.000000,1
2020-02-21,380.070007,0
2020-02-24,368.700012,0
2020-02-25,360.089996,2
2020-02-26,379.239990,0
2020-02-27,371.709991,1
2020-02-28,369.029999,2
2020-03-02,381.049988,0
2020-03-03,368.769989,2
2020-03-04,383.790009,0
2020-03-05,372.779999,1
2020-03-06,368.970001,0
2020-03-09,346.489990,2
2020-03-10,364.130005,0
2020-03-11,349.920013,0
2020-03-12,315.250000,2
2020-03-13,336.299988,0
2020-03-16,298.839996,2
2020-03-17,319.750000,1
2020-03-18,315.470001,2
2020-03-19,332.029999,1
2020-03-20,332.829987,2
2020-03-23,360.269989,2
2020-03-24,357.320007,1
2020-03-25,342.390015,2
2020-03-26,362.989990,1
2020-03-27,357.119995,2
2020-03-30,370.959991,2
2020-03-31,375.500000,0
2020-04-01,364.079987,2
2020-04-02,370.079987,1
2020-04-03,361.760010,2
2020-04-06,379.959991,1
2020-04-07,372.279999,1
2020-04-08,371.119995,1
2020-04-09,370.720001,2
2020-04-13,396.720001,2
2020-04-14,413.549988,2
2020-04-15,426.750000,2
2020-04-16,439.170013,0
2020-04-17,422.959991,2
2020-04-20,437.489990,1
2020-04-21,433.829987,0
2020-04-22,421.420013,1
2020-04-23,426.700012,1
2020-04-24,424.989990,1
2020-04-27,421.380005,0
2020-04-28,403.829987,2
2020-04-29,411.890015,2
2020-04-30,419.850006,1
2020-05-01,415.269989,2
2020-05-04,428.149994,1
2020-05-05,424.679993,2
2020-05-06,434.260010,1
2020-05-07,436.529999,1
2020-05-08,435.549988,1
2020-05-11,440.519989,2
2020-05-12,431.820007,0
2020-05-13,438.269989,2
2020-05-14,441.950012,1
2020-05-15,454.190002,2
2020-05-18,452.579987,1
2020-05-19,451.040009,1
2020-05-20,447.670013,0
2020-05-21,436.250000,0
2020-05-22,429.320007,0
2020-05-26,414.769989,1
2020-05-27,419.890015,1
2020-05-28,413.440002,2
2020-05-29,419.730011,2
2020-06-01,425.920013,2
2020-06-02,427.309998,1
2020-06-03,421.970001,0
2020-06-04,414.329987,1
2020-06-05,419.600006,1
2020-06-08,419.489990,2
2020-06-09,434.049988,2
2020-06-10,434.480011,0
2020-06-11,425.559998,0
2020-06-12,418.070007,2
2020-06-15,425.500000,2
2020-06-16,436.130005,2
2020-06-17,447.769989,1
2020-06-18,449.869995,1
2020-06-19,453.720001,2
2020-06-22,468.040009,1
2020-06-23,466.260010,0
2020-06-24,457.850006,0
2020-06-25,465.910004,2
2020-06-26,443.399994,0
2020-06-29,447.239990,1
2020-06-30,455.040009,2
