Date,Close,Volume,Sentiment
2018-11-26,261.429993,12498600,2
2018-11-27,266.630005,11149500,2
2018-11-28,282.649994,14801300,2
2018-11-29,288.750000,15431500,1
2018-11-30,286.130005,11860100,1
2018-12-03,290.299988,14117400,0
2018-12-04,275.329987,12800600,1
2018-12-06,282.880005,13074300,0
2018-12-07,265.140015,12466700,1
2018-12-10,269.700012,9605600,1
2018-12-11,265.320007,9843200,2
2018-12-12,274.880005,11456700,1
2018-12-13,276.019989,8379300,0
2018-12-14,266.839996,9915300,1
2018-12-17,262.799988,9634700,2
2018-12-18,270.940002,10350100,1
2018-12-19,266.769989,13788400,1
2018-12-20,260.579987,16792900,0
2018-12-21,246.389999,21397600,0
2018-12-24,233.880005,9547600,2
2018-12-26,253.669998,14402700,1
2018-12-27,255.570007,12235200,1
2018-12-28,256.079987,10992800,1
2018-12-31,267.660004,13508900,2
2019-01-02,267.660004,11679500,2
2019-01-03,271.200012,14969600,2
2019-01-04,297.570007,19330100,2
2019-01-07,315.339996,18620100,2
2019-01-08,320.269989,15359200,1
2019-01-09,319.959991,13343200,1
2019-01-10,324.660004,13472500,2
2019-01-11,337.589996,19500400,2
2019-01-14,332.940002,10499600,1
2019-01-15,354.640015,21181200,1
2019-01-16,351.390015,15385500,1
2019-01-17,353.190002,18871200,0
2019-01-18,339.100006,26621000,0
2019-01-22,325.160004,17941400,0
2019-01-23,321.989990,13480100,1
2019-01-24,326.670013,11131600,2
2019-01-25,338.049988,11152900,1
2019-01-28,335.660004,8652100,0
2019-01-29,328.899994,7655200,2
2019-01-30,340.660004,9234500,1
2019-01-31,339.500000,8535500,1
2019-02-01,339.850006,9827800,2
2019-02-04,351.339996,9051400,2
2019-02-05,355.809998,9046600,1
2019-02-06,352.190002,6717700,0
2019-02-07,344.709991,7864500,0
2019-02-08,347.570007,7561400,1
2019-02-11,345.730011,5454900,2
2019-02-12,359.970001,10429400,1
2019-02-13,351.769989,10559100,1
2019-02-14,359.070007,9295300,1
2019-02-15,356.869995,9230000,1
2019-02-19,361.920013,7396600,1
2019-02-20,359.910004,8110700,1
2019-02-21,356.970001,6227900,1
2019-02-22,363.019989,7088200,2
2019-02-25,363.910004,7569300,1
